wName2,wTrueRank2,wEstRank2,wTrueBin2,wEstBin2
1062,643,1219,2,3
1063,644,691,2,2
1064,645,776,2,2
1065,646,220,2,1
1067,647,941,2,2
1068,648,984,2,2
1069,649,752,2,2
1070,650,1213,2,3
1072,651,768,2,2
1073,652,1356,2,3
1075,653,500,2,1
1076,654,1352,2,3
1077,655,676,2,2
1078,656,225,2,1
1080,657,755,2,2
1081,658,938,2,2
1082,659,695,2,2
1084,660,1136,2,2
1087,661,1029,2,2
1088,662,281,2,1
1089,663,468,2,1
1090,664,978,2,2
1094,665,1282,2,3
1095,666,1048,2,2
1096,667,253,2,1
1098,668,1068,2,2
1104,669,409,2,1
1105,670,1205,2,3
1106,671,622,2,2
1107,672,599,2,1
1108,673,1025,2,2
1109,674,214,2,1
1110,675,985,2,2
1111,676,584,2,1
1112,677,917,2,2
1113,678,1344,2,3
1114,679,780,2,2
1117,680,806,2,2
1120,681,986,2,2
1122,682,959,2,2
1123,683,1220,2,3
1125,684,722,2,2
1126,685,36,2,1
1127,686,979,2,2
1129,687,1077,2,2
1131,688,284,2,1
1133,689,1158,2,2
1135,690,667,2,2
1137,691,1194,2,2
1138,692,779,2,2
1140,693,1192,2,2
1141,694,1221,2,3
1142,695,593,2,1
1143,696,1166,2,2
1145,697,706,2,2
1146,698,242,2,1
1148,699,1167,2,2
1149,700,434,2,1
1151,701,1290,2,3
1152,702,1222,2,3
1153,703,1353,2,3
1154,704,934,2,2
1157,705,1362,2,3
1159,706,1045,2,2
1160,707,1080,2,2
1161,708,711,2,2
1164,709,73,2,1
1165,710,444,2,1
1166,711,467,2,1
1168,712,698,2,2
1169,713,306,2,1
1174,714,761,2,2
1176,715,679,2,2
1177,716,1223,2,3
1178,717,462,2,1
1179,718,1283,2,3
1180,719,1208,2,3
1182,720,252,2,1
1184,721,1200,2,2
1187,722,980,2,2
1188,723,1348,2,3
1189,724,198,2,1
1190,725,325,2,1
1195,726,445,2,1
1196,727,1224,2,3
1198,728,1296,2,3
1202,729,441,2,1
1204,730,234,2,1
1206,731,580,2,1
1207,732,923,2,2
1208,733,749,2,2
1209,734,246,2,1
1210,735,137,2,1
1212,736,265,2,1
1213,737,1284,2,3
1214,738,1225,2,3
1215,739,1319,2,3
1217,740,1198,2,2
1218,741,1038,2,2
1222,742,1297,2,3
1224,743,987,2,2
1225,744,1092,2,2
1226,745,1101,2,2
1227,746,751,2,2
1228,747,87,2,1
1229,748,221,2,1
1231,749,262,2,1
1232,750,1081,2,2
1233,751,240,2,1
1236,752,1226,2,3
1237,753,505,2,1
1238,754,579,2,1
1240,755,1298,2,3
1243,756,916,2,2
1245,757,769,2,2
1246,758,1227,2,3
1247,759,565,2,1
1249,760,970,2,2
1250,761,1299,2,3
